"_id","title","description","address","price","rentPrice","numberOfUnits","propertyType","floorPlan","amenities","photos","createdAt","updatedAt","__v","admin"
"670d12c3c9e0bfd3458fc947","Beautiful Apartment6","A lovely apartment in the city center","123 Main St, City, Country",250000,1000,5,"Apartment","3BHK","[""[\""Gym\"", \""Pool\"", \""Parking\""]""]","[{""id"":""36fa08c8-b190-443f-a520-70cc217e67b2"",""url"":""/uploads/properties/36fa08c8-b190-443f-a520-70cc217e67b2.jpg"",""_id"":""67612517ac2f8393b3134c38""},{""id"":""363f153f-1409-4ebc-b41a-6f8356f8d431"",""url"":""/uploads/properties/363f153f-1409-4ebc-b41a-6f8356f8d431.jpg"",""_id"":""67612517ac2f8393b3134c39""}]","2024-10-14T12:46:59.909Z","2024-12-17T07:15:35.554Z",0,
"670d19249169ee3e0d4ea760","Great Apartment 1","A lovely apartment in the city center","Addis, Bole Bulbula",250000,1000,5,"Apartment","3BHK","[""[\""Gym\"", \""Pool\"", \""Parking\""]""]","[""1728911652405-2024-10-08 08.31.49.jpg"",""1728911652411-AHUN ARHITETS LOGO Only Sep 25, 2024 copy.png"",""1728911652420-ahun_architects.png""]","2024-10-14T13:14:12.428Z","2024-12-06T07:06:20.599Z",0,
"673db1eff9cfa056e013b96f","Great Apartment 566788","A lovely apartment in the city center","Addis, Bole Bulbula",2500003,100025884255,5,"Apartment","3BHK","[""[\""Gym\"", \""Pool\"", \""Parking\""]""]","[""1732096495144-2024-10-08 08.31.49.jpg"",""1732096495149-AHUN ARHITETS LOGO Only Sep 25, 2024 copy.png"",""1732096495160-ahun_architects.png""]","2024-11-20T09:54:55.173Z","2024-12-06T10:15:47.507Z",0,"670e1b0b6456d941a7123b09"
"6750602b454e872691b5db63","Condominium 3Bedroom with maid room","Condominium on 6 floor around Koye","Koye Feche, Sheger City",5000000,15000,5,"COndominium","6Floor","[""[ \""Parking\""]""]","[{""id"":""1e98fb3d-8e6a-4863-b322-04fe51e9969a"",""url"":""/uploads/properties/1e98fb3d-8e6a-4863-b322-04fe51e9969a.jpg"",""_id"":""6750602b454e872691b5db64""},{""id"":""0d0d675d-601e-4c11-ad66-e6090ff9389b"",""url"":""/uploads/properties/0d0d675d-601e-4c11-ad66-e6090ff9389b.jpg"",""_id"":""6750602b454e872691b5db65""},{""id"":""ee3c3971-8317-4e45-b2bd-831919a7c1aa"",""url"":""/uploads/properties/ee3c3971-8317-4e45-b2bd-831919a7c1aa.jpg"",""_id"":""6750602b454e872691b5db66""}]","2024-12-04T13:59:07.494Z","2024-12-04T13:59:07.494Z",0,"670e1b0b6456d941a7123b09"
"6751952a31e6ff97665a6aec","mmm","jj","kkk",78788,89898,9090,"Commercial","klkl","[""8989""]","[]","2024-12-05T11:57:30.672Z","2024-12-05T11:57:30.672Z",0,"6751916d31e6ff97665a6ad4"
"675aa1f85c64de8e7afb2086","Luxurious 3-Bedroom Apartment","A spacious and modern 3-bedroom apartment in the heart of the city.","123 Main Street, Downtown Cityville",300000,1500,1,"apartment","https://example.com/floor-plan.jpg","[""Gym"",""Swimming Pool"",""Parking"",""24/7 Security""]","[]","2024-12-12T08:42:32.424Z","2024-12-12T08:42:32.424Z",0,"6746c86ae2bc398642a12532"
"675aa2ab5c64de8e7afb2089","Luxurious 3-Bedroom Apartment","A spacious and modern 3-bedroom apartment in the heart of the city.","123 Main Street, Downtown Cityville",300000,1500,1,"apartment","https://example.com/floor-plan.jpg","[""Gym"",""Swimming Pool"",""Parking"",""24/7 Security""]","[]","2024-12-12T08:45:31.363Z","2024-12-12T08:45:31.363Z",0,"6746c86ae2bc398642a12532"
"675bd8d2a0674dceab8b2931","Luxurious 3-Bedroom Apartment","A spacious and modern 3-bedroom apartment in the heart of the city.","123 Main Street, Downtown Cityville",300000,1500,1,"apartment","https://example.com/floor-plan.jpg","[""[\""Gym\"", \""Swimming Pool\"", \""Parking\"", \""24/7 Security\""]""]","[{""id"":""8bf072d1-00a2-4f36-b151-ce5198803d06"",""url"":""/uploads/properties/8bf072d1-00a2-4f36-b151-ce5198803d06.jpg"",""_id"":""675bd8d2a0674dceab8b2932""},{""id"":""67d1a010-61d2-4e88-86bc-f429bc34c8d3"",""url"":""/uploads/properties/67d1a010-61d2-4e88-86bc-f429bc34c8d3.jpg"",""_id"":""675bd8d2a0674dceab8b2933""},{""id"":""0ac8cb75-e6c0-4a93-9a2f-8ab97011f93d"",""url"":""/uploads/properties/0ac8cb75-e6c0-4a93-9a2f-8ab97011f93d.jpg"",""_id"":""675bd8d2a0674dceab8b2934""}]","2024-12-13T06:48:50.855Z","2024-12-13T06:48:50.855Z",0,"6746c86ae2bc398642a12532"
"676015c5d1b4a0414087c69e","Lebu Lexury Apartment","hero lema ashagre akababi new yalew","Lebu Mebrat Hayl infront of Yekatit",1200000,-3,3,"apartment","13","[""[\""Parking\"",\""Generator\"",\""Unlimited Water\"",\""Wifi\""]""]","[]","2024-12-16T11:57:57.741Z","2024-12-16T11:57:57.741Z",0,"67600fd3d1b4a0414087c191"
"67601606d1b4a0414087c6a1","Lebu Mebrat Lexury APartment","Lexury Apartment around Lebu Medhanyalem Church","Lebu Medhanyalem church",1200000,,4,"apartment","12","[""[\""Parking\"",\""Generator\"",\""Unlimited Water\"",\""Wifi\""]""]","[]","2024-12-16T11:59:02.176Z","2024-12-16T11:59:02.176Z",0,"67600fd3d1b4a0414087c191"
